group_id,Biomass,Fossil Brown coal/Lignite,Fossil Gas,Fossil Hard coal,Fossil Oil,Geothermal,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Other,Other renewable,Solar,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
3412,97.25,266.0,499.75,,0.0,,14.0,21.0,1404.25,66.0,11.5,97.0,10.0,7.0,202005220400,202005220500,160.5,104.0,2333.25,2493.75,6,4
3413,98.75,316.0,488.75,,,,16.0,19.0,1403.0,68.0,14.5,319.25,9.25,2.5,202005220500,202005220600,380.5,321.75,2374.5,2755.0,14,12
3414,100.5,328.75,468.5,,,,16.0,14.0,1402.75,73.0,16.5,575.0,10.5,0.25,202005220600,202005220700,632.25,575.25,2373.5,3005.75,21,19
3415,113.5,319.5,551.25,,,,16.0,14.0,1401.25,76.0,16.25,780.5,10.25,0.5,202005220700,202005220800,837.5,781.0,2461.5,3299.0,25,24
3416,112.75,319.5,528.0,,0.0,,15.0,14.0,1403.25,76.0,16.0,916.75,10.0,3.25,202005220800,202005220900,975.0,920.0,2439.5,3414.5,29,27
3417,111.25,281.25,483.75,,0.0,,16.0,14.0,1404.0,73.0,16.0,976.0,10.0,10.25,202005220900,202005221000,1042.25,986.25,2353.25,3395.5,31,29
3418,117.75,314.5,503.75,,0.0,,15.5,12.0,1400.25,76.0,15.5,982.25,9.5,11.0,202005221000,202005221100,1045.75,993.25,2412.25,3458.0,30,29
3419,119.75,296.0,485.5,,0.0,,15.0,12.0,1399.5,72.0,15.75,972.25,11.0,14.0,202005221100,202005221200,1040.0,986.25,2372.75,3412.75,30,29
3420,114.5,321.5,518.0,,0.0,,15.0,17.25,1402.5,72.0,15.5,925.25,9.0,13.75,202005221200,202005221300,995.75,939.0,2428.5,3424.25,29,27
3421,115.75,353.0,523.25,,0.0,,15.0,19.0,1399.5,72.0,16.0,806.75,10.25,22.0,202005221300,202005221400,889.0,828.75,2463.5,3352.5,27,25
3422,116.25,325.5,480.25,,0.0,,15.0,19.0,1397.25,71.0,16.0,610.0,10.25,16.25,202005221400,202005221500,686.5,626.25,2390.25,3076.75,22,20
3423,118.0,357.0,544.0,,0.0,,15.0,19.0,1400.0,73.0,16.0,357.75,9.5,14.5,202005221500,202005221600,431.75,372.25,2492.0,2923.75,15,13
3424,117.75,353.75,512.0,,0.0,,15.0,19.0,1398.25,68.0,16.0,136.75,8.0,5.5,202005221600,202005221700,200.25,142.25,2449.75,2650.0,8,5
3425,116.0,336.25,546.25,,0.0,,15.0,19.0,1398.0,68.0,15.5,31.5,8.75,2.25,202005221700,202005221800,92.0,33.75,2464.5,2556.5,4,1
3426,118.0,361.5,533.5,,,,15.0,19.0,1397.25,68.0,15.0,0.75,9.0,4.75,202005221800,202005221900,63.5,5.5,2478.25,2541.75,2,0
3427,117.0,339.75,580.75,,,,15.0,19.0,1397.25,68.0,15.0,0.0,10.25,2.75,202005221900,202005222000,62.0,2.75,2502.75,2564.75,2,0
3428,118.0,305.25,570.5,,0.0,,14.0,17.0,1398.0,68.0,14.0,0.0,11.25,6.0,202005222000,202005222100,62.25,6.0,2459.75,2522.0,2,0
3429,115.75,281.25,570.5,,0.0,,14.0,17.0,1396.75,67.0,14.0,0.0,11.0,10.0,202005222100,202005222200,66.0,10.0,2431.25,2497.25,3,0
3430,114.5,302.75,560.75,,0.0,,14.0,17.0,1393.75,67.0,14.5,0.0,11.5,5.25,202005222200,202005222300,62.25,5.25,2438.75,2501.0,2,0
3431,117.75,322.75,525.75,,0.0,,14.0,17.0,1394.0,67.0,13.75,0.0,12.0,5.0,202005222300,202005230000,61.75,5.0,2427.25,2489.0,2,0
3432,113.0,294.5,495.5,,0.0,,14.0,17.0,1398.0,66.0,10.25,0.0,11.75,2.75,202005230000,202005230100,55.75,2.75,2367.0,2422.75,2,0
3433,88.5,263.25,498.0,,0.0,,14.0,17.0,1400.75,67.0,7.0,0.0,12.5,8.0,202005230100,202005230200,58.5,8.0,2317.5,2376.0,2,0
3434,83.25,276.0,495.0,,0.0,,14.0,17.0,1401.5,66.0,7.75,0.25,12.25,2.0,202005230200,202005230300,53.25,2.25,2321.75,2375.0,2,0
3435,85.5,295.75,469.0,,0.0,,14.0,17.0,1401.5,66.0,8.75,18.5,12.0,0.75,202005230300,202005230400,71.0,19.25,2317.75,2388.75,3,1
3436,90.25,316.5,456.5,,0.0,,14.0,17.0,1402.0,68.0,10.25,87.75,11.75,2.25,202005230400,202005230500,143.0,90.0,2333.25,2476.25,6,4
3437,103.0,305.0,440.75,,0.0,,15.25,17.0,1408.0,68.0,14.25,240.75,11.0,3.75,202005230500,202005230600,302.0,244.5,2324.75,2626.75,11,9
3438,113.25,274.5,419.25,,0.0,,16.0,16.5,1418.25,68.0,15.0,407.5,11.25,8.0,202005230600,202005230700,474.25,415.5,2293.25,2767.5,17,15
3439,115.25,258.25,462.0,,,,15.75,13.0,1419.25,73.0,15.0,518.0,12.25,13.0,202005230700,202005230800,587.0,531.0,2327.75,2914.75,20,18
3440,113.5,313.25,439.0,,,,15.25,13.0,1421.0,73.0,15.0,592.75,13.5,26.75,202005230800,202005230900,676.25,619.5,2359.75,3036.0,22,20
3441,114.0,299.5,449.25,,0.0,,15.0,16.5,1421.25,73.0,15.0,643.0,14.5,28.25,202005230900,202005231000,732.25,671.25,2357.0,3089.25,24,22
