,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Nuclear,Solar,Waste,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
32,341.0,8298.0,44.0,204.0,1245.0,6236.0,3196.0,50212.0,568.0,215.0,2350.0,202001020800,202001020900,13810.0,2918.0,59099.0,72909.0,19,4
33,341.0,8408.0,44.0,203.0,1311.0,6427.0,3366.0,50376.0,1508.0,210.0,2521.0,202001020900,202001021000,15343.0,4029.0,59372.0,74715.0,21,5
34,342.0,8354.0,44.0,204.0,975.0,6445.0,3619.0,50424.0,2006.0,211.0,2653.0,202001021000,202001021100,15909.0,4659.0,59368.0,75277.0,21,6
35,341.0,8312.0,44.0,204.0,1608.0,6489.0,3985.0,50426.0,2268.0,213.0,2770.0,202001021100,202001021200,17333.0,5038.0,59327.0,76660.0,23,7
36,341.0,8239.0,44.0,204.0,1637.0,6396.0,3917.0,50407.0,2108.0,214.0,2907.0,202001021200,202001021300,17179.0,5015.0,59235.0,76414.0,22,7
37,341.0,8236.0,44.0,204.0,1075.0,6243.0,3759.0,50383.0,1696.0,214.0,3055.0,202001021300,202001021400,16042.0,4751.0,59208.0,75250.0,21,6
38,342.0,7981.0,44.0,204.0,898.0,6316.0,3932.0,50415.0,1010.0,214.0,3310.0,202001021400,202001021500,15680.0,4320.0,58986.0,74666.0,21,6
39,345.0,7908.0,44.0,204.0,524.0,6488.0,3505.0,50491.0,392.0,214.0,3787.0,202001021500,202001021600,14910.0,4179.0,58992.0,73902.0,20,6
40,344.0,8162.0,44.0,204.0,1340.0,6796.0,3730.0,50639.0,132.0,216.0,4378.0,202001021600,202001021700,16592.0,4510.0,59393.0,75985.0,22,6
41,344.0,8224.0,44.0,204.0,1503.0,6935.0,3940.0,50702.0,0.0,217.0,4844.0,202001021700,202001021800,17439.0,4844.0,59518.0,76957.0,23,6
42,344.0,8258.0,44.0,204.0,1190.0,6693.0,3858.0,50639.0,0.0,218.0,5471.0,202001021800,202001021900,17430.0,5471.0,59489.0,76919.0,23,7
43,342.0,8021.0,44.0,203.0,419.0,6341.0,3136.0,50409.0,0.0,217.0,5963.0,202001021900,202001022000,16076.0,5963.0,59019.0,75095.0,21,8
44,342.0,7322.0,44.0,204.0,,5915.0,1727.0,50185.0,0.0,218.0,6244.0,202001022000,202001022100,14104.0,6244.0,58097.0,72201.0,20,9
45,342.0,6834.0,44.0,203.0,,5623.0,1515.0,50258.0,0.0,218.0,6233.0,202001022100,202001022200,13589.0,6233.0,57681.0,71270.0,19,9
46,341.0,6216.0,44.0,203.0,,5520.0,1455.0,50182.0,0.0,218.0,6272.0,202001022200,202001022300,13465.0,6272.0,56986.0,70451.0,19,9
47,342.0,4169.0,44.0,203.0,,5321.0,999.0,49394.0,0.0,218.0,6594.0,202001022300,202001030000,13132.0,6594.0,54152.0,67284.0,20,10
48,335.0,3917.0,44.0,200.0,,5097.0,780.0,48586.0,0.0,218.0,6747.0,202001030000,202001030100,12842.0,6747.0,53082.0,65924.0,19,10
49,332.0,3715.0,44.0,200.0,,4855.0,624.0,48046.0,0.0,218.0,6868.0,202001030100,202001030200,12565.0,6868.0,52337.0,64902.0,19,11
50,332.0,3735.0,45.0,201.0,,4820.0,650.0,47389.0,0.0,219.0,7155.0,202001030200,202001030300,12844.0,7155.0,51702.0,64546.0,20,11
51,330.0,3670.0,44.0,201.0,,4863.0,512.0,47272.0,0.0,219.0,7501.0,202001030300,202001030400,13095.0,7501.0,51517.0,64612.0,20,12
52,331.0,3778.0,44.0,201.0,,4892.0,493.0,47476.0,0.0,218.0,7670.0,202001030400,202001030500,13273.0,7670.0,51830.0,65103.0,20,12
53,331.0,4499.0,44.0,203.0,,4984.0,674.0,48445.0,0.0,218.0,7808.0,202001030500,202001030600,13684.0,7808.0,53522.0,67206.0,20,12
54,329.0,6234.0,51.0,203.0,,5378.0,1699.0,49435.0,0.0,216.0,8150.0,202001030600,202001030700,15443.0,8150.0,56252.0,71695.0,22,11
55,329.0,7323.0,44.0,204.0,,5700.0,2345.0,49590.0,158.0,217.0,8255.0,202001030700,202001030800,16675.0,8413.0,57490.0,74165.0,22,11
56,332.0,7650.0,42.0,204.0,,5992.0,2582.0,49745.0,496.0,218.0,7894.0,202001030800,202001030900,17182.0,8390.0,57973.0,75155.0,23,11
57,332.0,7575.0,42.0,204.0,387.0,6124.0,2346.0,49695.0,1091.0,217.0,7808.0,202001030900,202001031000,17973.0,8899.0,57848.0,75821.0,24,12
58,332.0,6986.0,42.0,204.0,458.0,6119.0,2094.0,49703.0,1523.0,218.0,7892.0,202001031000,202001031100,18304.0,9415.0,57267.0,75571.0,24,12
59,332.0,7153.0,45.0,204.0,527.0,6032.0,2444.0,49317.0,1763.0,217.0,8130.0,202001031100,202001031200,19113.0,9893.0,57051.0,76164.0,25,13
60,330.0,7397.0,45.0,204.0,678.0,5823.0,1982.0,48883.0,1675.0,219.0,8020.0,202001031200,202001031300,18397.0,9695.0,56859.0,75256.0,24,13
61,330.0,7591.0,45.0,204.0,854.0,5633.0,1931.0,48970.0,1311.0,218.0,7498.0,202001031300,202001031400,17445.0,8809.0,57140.0,74585.0,23,12
62,331.0,7924.0,45.0,203.0,198.0,5560.0,1705.0,48964.0,753.0,218.0,6801.0,202001031400,202001031500,15235.0,7554.0,57467.0,72702.0,21,10
63,329.0,7962.0,47.0,204.0,372.0,5769.0,1433.0,49076.0,328.0,218.0,6001.0,202001031500,202001031600,14121.0,6329.0,57618.0,71739.0,20,9
64,326.0,8293.0,49.0,204.0,1440.0,6148.0,3158.0,49338.0,139.0,220.0,5652.0,202001031600,202001031700,16757.0,5791.0,58210.0,74967.0,22,8
65,326.0,8345.0,49.0,204.0,1813.0,6570.0,3409.0,49401.0,0.0,220.0,5497.0,202001031700,202001031800,17509.0,5497.0,58325.0,75834.0,23,7
66,330.0,8187.0,48.0,204.0,1584.0,6641.0,3252.0,49436.0,0.0,220.0,5101.0,202001031800,202001031900,16798.0,5101.0,58205.0,75003.0,22,7
67,332.0,7892.0,48.0,203.0,857.0,6128.0,2572.0,48630.0,0.0,220.0,4625.0,202001031900,202001032000,14402.0,4625.0,57105.0,71507.0,20,6
68,332.0,7326.0,48.0,204.0,,5747.0,1472.0,48809.0,0.0,219.0,4134.0,202001032000,202001032100,11572.0,4134.0,56719.0,68291.0,17,6
69,333.0,6976.0,48.0,203.0,,5691.0,1496.0,49336.0,0.0,221.0,3877.0,202001032100,202001032200,11285.0,3877.0,56896.0,68181.0,17,6
70,332.0,6092.0,48.0,203.0,314.0,5462.0,1963.0,48380.0,0.0,222.0,3573.0,202001032200,202001032300,11534.0,3573.0,55055.0,66589.0,17,5
71,328.0,5238.0,49.0,201.0,,5233.0,1453.0,47177.0,0.0,221.0,3229.0,202001032300,202001040000,10136.0,3229.0,52993.0,63129.0,16,5
72,330.0,4962.0,49.0,201.0,,4781.0,790.0,46731.0,0.0,221.0,3155.0,202001040000,202001040100,8947.0,3155.0,52273.0,61220.0,15,5
73,331.0,4695.0,49.0,202.0,,4631.0,768.0,46980.0,0.0,220.0,3127.0,202001040100,202001040200,8746.0,3127.0,52257.0,61003.0,14,5
74,332.0,4452.0,48.0,202.0,,4573.0,693.0,47054.0,0.0,220.0,3052.0,202001040200,202001040300,8538.0,3052.0,52088.0,60626.0,14,5
75,333.0,4187.0,48.0,202.0,,4537.0,625.0,46680.0,0.0,221.0,3120.0,202001040300,202001040400,8503.0,3120.0,51450.0,59953.0,14,5
76,332.0,4266.0,49.0,201.0,,4620.0,619.0,46705.0,0.0,219.0,3042.0,202001040400,202001040500,8500.0,3042.0,51553.0,60053.0,14,5
77,331.0,4622.0,48.0,202.0,,4727.0,889.0,47286.0,0.0,217.0,3067.0,202001040500,202001040600,8900.0,3067.0,52489.0,61389.0,14,5
78,333.0,5287.0,48.0,201.0,,4856.0,858.0,48091.0,0.0,217.0,3043.0,202001040600,202001040700,8974.0,3043.0,53960.0,62934.0,14,5
79,332.0,5955.0,48.0,201.0,,5071.0,1289.0,48169.0,178.0,217.0,3131.0,202001040700,202001040800,9886.0,3309.0,54705.0,64591.0,15,5
80,331.0,6217.0,46.0,201.0,,5383.0,1869.0,48280.0,652.0,216.0,3370.0,202001040800,202001040900,11490.0,4022.0,55075.0,66565.0,17,6
81,329.0,6544.0,48.0,201.0,145.0,5448.0,2355.0,48536.0,1497.0,216.0,3512.0,202001040900,202001041000,13173.0,5009.0,55658.0,68831.0,19,7
82,333.0,6501.0,48.0,201.0,,5348.0,2286.0,48395.0,2269.0,216.0,3439.0,202001041000,202001041100,13558.0,5708.0,55478.0,69036.0,20,8
83,333.0,6616.0,49.0,202.0,,5051.0,2227.0,48277.0,2734.0,215.0,3409.0,202001041100,202001041200,13636.0,6143.0,55477.0,69113.0,20,9
84,332.0,6538.0,49.0,201.0,,4883.0,1662.0,48339.0,2680.0,211.0,3692.0,202001041200,202001041300,13128.0,6372.0,55459.0,68587.0,19,9
85,333.0,6353.0,49.0,202.0,,4787.0,1217.0,48122.0,2284.0,211.0,3716.0,202001041300,202001041400,12215.0,6000.0,55059.0,67274.0,18,9
86,332.0,6596.0,48.0,202.0,108.0,4760.0,1354.0,47788.0,1465.0,213.0,3435.0,202001041400,202001041500,11335.0,4900.0,54966.0,66301.0,17,7
87,332.0,6921.0,49.0,201.0,448.0,4888.0,1563.0,47834.0,557.0,212.0,3058.0,202001041500,202001041600,10726.0,3615.0,55337.0,66063.0,16,5
88,332.0,7386.0,48.0,202.0,761.0,5440.0,3018.0,48350.0,139.0,213.0,2924.0,202001041600,202001041700,12495.0,3063.0,56318.0,68813.0,18,4
89,330.0,7604.0,48.0,202.0,1474.0,5868.0,3346.0,49274.0,0.0,214.0,2866.0,202001041700,202001041800,13768.0,2866.0,57458.0,71226.0,19,4
90,331.0,7595.0,48.0,202.0,1881.0,6102.0,3152.0,49294.0,0.0,214.0,2835.0,202001041800,202001041900,14184.0,2835.0,57470.0,71654.0,20,4
91,332.0,7368.0,48.0,202.0,1018.0,5678.0,2604.0,49171.0,0.0,213.0,2691.0,202001041900,202001042000,12204.0,2691.0,57121.0,69325.0,18,4
92,332.0,6820.0,48.0,202.0,373.0,5400.0,1726.0,49292.0,0.0,213.0,2467.0,202001042000,202001042100,10179.0,2467.0,56694.0,66873.0,15,4
93,332.0,6931.0,48.0,202.0,635.0,5293.0,1808.0,49267.0,0.0,213.0,2189.0,202001042100,202001042200,10138.0,2189.0,56780.0,66918.0,15,3
94,332.0,7164.0,48.0,201.0,749.0,5041.0,1683.0,49142.0,0.0,214.0,2043.0,202001042200,202001042300,9730.0,2043.0,56887.0,66617.0,15,3
95,334.0,6809.0,48.0,201.0,0.0,4826.0,1338.0,48958.0,0.0,214.0,1915.0,202001042300,202001050000,8293.0,1915.0,56350.0,64643.0,13,3
96,333.0,6346.0,48.0,202.0,,4730.0,771.0,48714.0,0.0,213.0,1859.0,202001050000,202001050100,7573.0,1859.0,55643.0,63216.0,12,3
97,333.0,6304.0,48.0,201.0,,4479.0,527.0,48977.0,0.0,213.0,1807.0,202001050100,202001050200,7026.0,1807.0,55863.0,62889.0,11,3
98,332.0,6146.0,48.0,201.0,,4247.0,257.0,48714.0,0.0,214.0,1887.0,202001050200,202001050300,6605.0,1887.0,55441.0,62046.0,11,3
99,331.0,6131.0,48.0,201.0,,4069.0,259.0,48808.0,0.0,214.0,1930.0,202001050300,202001050400,6472.0,1930.0,55519.0,61991.0,10,3
100,331.0,6123.0,48.0,201.0,,3960.0,265.0,48795.0,0.0,213.0,1890.0,202001050400,202001050500,6328.0,1890.0,55498.0,61826.0,10,3
101,333.0,6212.0,48.0,202.0,,3981.0,193.0,48860.0,0.0,213.0,1811.0,202001050500,202001050600,6198.0,1811.0,55655.0,61853.0,10,3
