,Biomass,Fossil Gas,Fossil Hard coal,Hydro Pumped Storage,Hydro Run-of-river and poundage,Hydro Water Reservoir,Other,Solar,Wind Offshore,Wind Onshore,startTime,endTime,renewableTotal,renewableTotalWS,nonRenewableTotal,total,percentRenewable,percentRenewableWS
36,350.0,3005.0,0.0,1897.0,2227.0,880.0,23.0,195.0,,629.0,202001021200,202001021300,5828.0,824.0,3378.0,9206.0,63,9
37,347.0,2999.0,0.0,1434.0,2225.0,826.0,21.0,148.0,,645.0,202001021300,202001021400,5278.0,793.0,3367.0,8645.0,61,9
38,341.0,3022.0,0.0,1215.0,2221.0,832.0,16.0,104.0,,651.0,202001021400,202001021500,5023.0,755.0,3379.0,8402.0,60,9
39,338.0,2974.0,0.0,1443.0,2219.0,829.0,11.0,49.0,,624.0,202001021500,202001021600,5164.0,673.0,3323.0,8487.0,61,8
40,334.0,3124.0,0.0,2008.0,2473.0,1260.0,10.0,12.0,,612.0,202001021600,202001021700,6365.0,624.0,3468.0,9833.0,65,6
41,341.0,3150.0,0.0,1889.0,2474.0,1268.0,11.0,0.0,,614.0,202001021700,202001021800,6245.0,614.0,3502.0,9747.0,64,6
42,339.0,3092.0,0.0,1790.0,2329.0,1220.0,11.0,0.0,,546.0,202001021800,202001021900,5885.0,546.0,3442.0,9327.0,63,6
43,341.0,3179.0,0.0,1339.0,2294.0,959.0,11.0,0.0,,473.0,202001021900,202001022000,5065.0,473.0,3531.0,8596.0,59,6
44,338.0,3131.0,0.0,850.0,2379.0,872.0,11.0,0.0,,559.0,202001022000,202001022100,4660.0,559.0,3480.0,8140.0,57,7
45,336.0,3090.0,0.0,709.0,2240.0,852.0,11.0,0.0,,622.0,202001022100,202001022200,4423.0,622.0,3437.0,7860.0,56,8
46,340.0,2275.0,0.0,514.0,2173.0,790.0,11.0,0.0,,587.0,202001022200,202001022300,4064.0,587.0,2626.0,6690.0,61,9
47,339.0,1620.0,0.0,168.0,2138.0,645.0,11.0,0.0,,522.0,202001022300,202001030000,3473.0,522.0,1970.0,5443.0,64,10
48,331.0,1194.0,0.0,32.0,1715.0,532.0,12.0,0.0,,469.0,202001030000,202001030100,2748.0,469.0,1537.0,4285.0,64,11
49,331.0,1133.0,0.0,32.0,1422.0,531.0,12.0,0.0,,415.0,202001030100,202001030200,2400.0,415.0,1476.0,3876.0,62,11
50,333.0,1208.0,0.0,32.0,1283.0,530.0,11.0,0.0,,430.0,202001030200,202001030300,2275.0,430.0,1552.0,3827.0,59,11
51,333.0,1186.0,0.0,31.0,1372.0,530.0,12.0,0.0,,419.0,202001030300,202001030400,2352.0,419.0,1531.0,3883.0,61,11
